alert,etsy_source_row,etsy_listing_key,etsy_title,etsy_sku,printify_product_id,printify_title,printify_variant_id,printify_sku
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHY904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHY728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHOLLY90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",DCC72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",CSF904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",CSF90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",CSF72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD90PL8Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",BPD724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHY908Nap,,,,
